 ,Area,XM,YM,Perim.
654,6,269.50,772.00,7.66
655,8,307.00,773.00,9.66
656,9,293.83,776.61,9.90
657,12,230.75,777.92,11.90
658,9,265.50,777.50,9.66
659,4,279.00,778.00,5.66
660,9,254.50,779.50,9.66
661,9,275.61,780.83,10.49
662,11,217.05,781.86,11.31
663,10,309.20,781.80,11.31
664,8,243.38,782.38,9.07
665,8,264.62,783.38,9.07
666,8,231.62,786.38,9.07
667,8,221.38,789.38,9.07
668,12,244.92,790.25,11.90
669,8,296.62,790.00,10.49
670,7,308.64,790.79,9.07
671,10,256.70,792.20,11.07
672,14,275.71,793.14,13.31
673,10,214.00,796.30,10.49
674,6,235.50,796.00,7.66
675,10,200.30,799.20,11.07
676,8,242.62,798.62,9.07
677,15,221.83,799.50,14.49
678,5,253.30,798.90,7.07
679,8,292.62,801.62,9.07
680,7,228.79,802.50,9.07
681,8,233.75,802.75,10.49
682,9,298.50,802.50,9.66
683,9,279.83,804.28,10.49
684,8,195.00,805.50,9.90
685,11,238.05,806.32,11.90
686,7,211.50,806.21,9.07
687,10,227.00,809.70,10.49
688,10,293.50,810.00,10.49
689,7,208.21,809.93,9.66
